15,15,0,0,false
9,12,3,L,1
3,2,9,W,1
11,11,9,W,1
13,8,4,A,1
12,14,4,O,1
10,1,2,Z,1
14,13,2,Z,1
0,13,0,G,1
1,4,10,B,1
8,1,0,M,1
8,5,0,M,1
10,0,0,G,1
11,1,99,J,1
8,4,0,M,0
8,0,0,M,0
5,12,3,L,0
8,13,3,L,0
1,12,3,L,0
7,13,3,L,0
8,2,0,M,0
7,1,0,M,0
7,0,0,M,0
9,0,0,M,0
9,3,0,M,0
10,4,0,M,0
6,1,0,M,0
10,3,0,M,0
8,3,0,M,0
11,3,0,M,0
6,2,0,M,0
12,3,0,M,0
5,1,0,M,0
10,5,0,M,0
7,2,0,M,0
7,5,0,M,0
6,0,0,M,0
7,4,0,M,0
13,3,0,M,0
10,2,0,M,0
4,10,3,L,0
9,4,0,M,0
8,6,0,M,0
9,2,0,M,0
7,6,0,M,0
10,6,0,M,0
5,0,0,M,0
12,4,0,M,0
7,3,0,M,0
11,4,0,M,0
14,3,0,M,0
9,1,0,M,0
9,5,0,M,0
6,3,0,M,0
9,6,0,M,0
5,2,0,M,0
5,3,0,M,0
13,4,0,M,0
13,2,0,M,0
9,7,0,M,0
12,5,0,M,0
4,2,0,M,0
6,5,0,M,0
9,8,0,M,0
14,2,0,M,0
14,4,0,M,0
5,5,0,M,0
10,7,0,M,0
7,7,0,M,0
11,5,0,M,0
4,1,0,M,0
10,8,0,M,0
5,6,0,M,0
6,6,0,M,0
11,2,0,M,0
11,6,0,M,0
4,0,0,M,0
